Cocktail Name,Ingredients,Preparation,Glassware,Bartender,Location,Image_URL,Image_Path
Dry Martini,60 ml Gin 10 ml Dry Vermouth,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-dry-martini-6694910fb500c.webp,cocktail_images\dry_martini.jpg
Gin Fizz,45 ml Gin 30 ml Fresh Lemon Juice 10 ml Simple Syrup Splash of Soda Water,"Shake all ingredients with ice except soda water. Pour into thin tall Tumbler glass , top with a splash soda water. NOTE: Serve without ice.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-gin-fizz-6694910fc2eab.webp,cocktail_images\gin_fizz.jpg
Hanky Panky,45 ml London Dry Gin 45 ml Sweet Red Vermouth 7.5 ml Fernet,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-hanky-panky-66949112edbf5.webp,cocktail_images\hanky_panky.jpg
John Collins,45 ml Gin 30 ml Fresh Lemon Juice 15 ml Simple Syrup 60 ml  Soda Water,Pour all ingredients directly into highball filled with ice. Stir gently. NOTE: Use ‘Old Tom’ Gin for Tom Collins.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-john-collins-669491130ef87.webp,cocktail_images\john_collins.jpg
Last Word,22.5 ml Gin 22.5 ml Green Chartreuse 22.5 ml Maraschino Luxardo 22.5 ml Fresh Lime Juice,Add all ingredients into a cocktail shaker. Shake with ice and strain into a chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-last-word-6694911607ddf.webp,cocktail_images\last_word.jpg
Manhattan,50 ml Rye Whiskey 20 ml Sweet Red Vermouth 1 dash Angostura Bitters,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-manhattan-6694911627de7.webp,cocktail_images\manhattan.jpg
Martinez,45 ml London Dry Gin 45 ml Sweet Red Vermouth 1 Bar Spoon Maraschino Luxardo 2 Dashes Orange Bitters,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-martinez-6694911927849.webp,cocktail_images\martinez.jpg
Mary Pickford,45 ml White Rum 45 ml Fresh Pineapple Juice 7.5 ml Maraschino Luxardo 5 ml Grenadine Syrup,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-mary-pickford-6694911933ea7.webp,cocktail_images\mary_pickford.jpg
Monkey Gland,45 ml Dry Gin 45 ml Fresh Orange Juice 1 Tablespoon Absinthe 1 Tablespoon Grenadine Syrup,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-monkey-gland-6694911cbf5a2.webp,cocktail_images\monkey_gland.jpg
Negroni,30 ml Gin 30 ml Bitter Campari 30 ml Sweet Red Vermouth,Pour all ingredients directly into chilled old fashioned glass filled with ice. Stir gently.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-negroni-6694911cc3b65.webp,cocktail_images\negroni.jpg
Old Fashioned,45 ml Bourbon or Rye Whiskey 1 Sugar Cube Few Dashes Angostura Bitters Few Dashes Plain Water,"Place sugar cube in old fashioned glass and saturate with bitter, add few dashes of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Stir gently.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-old-fashioned-6694911fce360.webp,cocktail_images\old_fashioned.jpg
Paradise,30 ml Gin 20 ml Apricot Brandy 15 ml Fresh Orange Juice,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-paradise-6694911fdbd4b.webp,cocktail_images\paradise.jpg
Planters Punch,45 ml Jamaican Rum 15 ml Lime Juice 30 ml Sugar Cane Juice,"Pour all ingredients directly in a small tumbler or a typical terracotta glass. NOTE: Add dilution up to taste, it can be given by water, ice or fresh juices.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-planters-punch-66949122d41fb.webp,cocktail_images\planters_punch.jpg
Porto Flip,15 ml Brandy 45 ml Red Tawny Port Wine 10 ml Egg Yolk,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-porto-flip-669491230cea4.webp,cocktail_images\porto_flip.jpg
Ramos Fizz,45 ml Gin 15 ml Fresh Lime Juice 15 ml Fresh Lemon Juice 30 ml Sugar Syrup 60 ml Cream 30ml Egg white 3 Dashes Orange Flower Water 2 Drops Vanilla Extract Soda Water,"Pour all ingredients except soda water in a cocktail shaker with ice. Shake for two minutes, double strain in a glass, pour the drink back in the shaker and hard shake without ice for one minute. Strain into a highball glass, top up with soda. NOTE: The drink was invented by Henry Ramos in 1888, at his bar Meyer’s Table d’Hôtel Internationale in New Orleans. The Ramos Fizz was originally shaken for 12 minutes by a crew of 30 bartenders who passed the shaker from one to another.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-ramos-fizz-669491260ca6c.webp,cocktail_images\ramos_fizz.jpg
Remember the Maine,60 ml Rye Whiskey 22.5 ml Sweet Vermouth 15 ml Cherry Brandy Luxardo 7.5 ml Absinthe,"Pour the absinthe into a coupe glass and swirl to completely coat the inside. Discard the absinthe and set the glass aside. Add the other ingredients to a mixing glass and fill it 3/4 full with ice. Stir until chilled, then strain into the glass rinsed with the absinthe.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-remember-the-main-6694912622959.webp,cocktail_images\remember_the_maine.jpg
Rusty Nail,45 ml Scotch Whisky 25 ml Drambuie,Pour all ingredients directly into an old fashioned glass filled with ice. Stir gently.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-rusty-nail-66949129acfd1.webp,cocktail_images\rusty_nail.jpg
Sazerac,50 ml Cognac 10 ml Absinthe 1 Sugar Cube 2 Dashes Peychaud’s Bitters,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice and set it aside. Stir the remaining ingredients over ice in a mixing glass. Discard the ice and any excess absinthe from the prepared glass, strain the mixed drink into the glass. NOTE: The original recipe changed after the American Civil War, Rye Whiskey substituted Cognac as it became hard to obtain.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-sazerac-66949129b50d1.webp,cocktail_images\sazerac.jpg
Sidecar,50 ml Cognac 20 ml Triple Sec 20 ml Fresh Lemon Juice,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-sidecar-6694912cb8aa9.webp,cocktail_images\sidecar.jpg
Stinger,50 ml Cognac 20 ml White Crème de Menthe,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-stinger-6694912ce0b8d.webp,cocktail_images\stinger.jpg
Tuxedo,30 ml Old Tom Gin 30 ml Dry Vermouth 1/2 Bar Spoon Maraschino Luxardo 1/4 Bar Spoon of Absinthe 3 Dashes Orange Bitters,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-tuxedo-6694912fd3b8f.webp,cocktail_images\tuxedo.jpg
Vieux Carré,30 ml Rye Whiskey 30 ml Cognac 30 ml Sweet Vermouth 1 Bar Spoon Bénédictine 2 Dashes Peychaud’s Bitters,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-vieux-carre-6694913015248.webp,cocktail_images\vieux_carr_.jpg
